三光,65
三八,63
三公,557
三六,54
三军,267
三分,253
三利,13
三北,14
三千,400
三县,32
三变,8
三台,14
三叶,6
三司,18
三合,34
三同,9
三周,12
三味,54
三品,24
三四,97
三国,228
三土,15
三圣,18
三城,36
三处,14
三夜,29
三大,7
三女,39
三子,242
三字,85
三季,12
三官,32
三宝,11
三室,7
三宫,7
三害,8
三家,155
三寸,177
三尺,176
三山,13
三岁,221
三川,74
三帝,6
三度,70
三式,19
三弟,18
三归,15
三德,31
三成,12
三户,9
三所,21
三才,16
三教,13
三方,10
三无,9
三日,624
三时,10
三明,9
三星,42
三昧,10
三晋,84
三朝,21
三期,6
三木,8
三条,13
三板,6
三极,11
三枚,13
三次,8
三正,34
三步,27
三段,19
三毛,6
三水,6
三江,33
三河,40
三法,6
三焦,65
三生,10
三疑,6
三百,655
三皇,83
三省,8
三礼,10
三种,40
三科,12
三秦,81
三等,44
三篇,158
三级,22
三经,9
三绝,13
三统,55
三老,147
三者,343
三臣,29
三至,37
三色,7
三节,9
三行,33
三言,26
三足,16
三载,30
三辅,226
三辰,38
三边,8
三道,11
三部,43
三都,20
三里,58
三重,20
三门,7
三问,13
三阳,20
三阴,19
三难,17
三面,25
三首,7
上,12209
上一,14
上上,14
上下,1024
上不,158
上东,6
上中,13
上为,95
上乘,7
上也,226
上书,861
上交,14
上京,6
上人,23
上以,227
上传,24
上位,76
上作,31
上元,21
上党,133
上冲,22
上刑,6
上刻,10
上前,25
上加,9
上升,11
上原,7
上去,18
上又,16
上古,131
上可,13
上司,11
上合,16
上告,10
上地,18
上城,10
上堂,23
上士,124
上多,16
上大,38
上天,139
上奏,38
上好,46
上官,102
上宾,18
上将,37
上山,24
上工,19
上帝,453
上应,13
上庸,20
上廉,13
上当,21
上德,33
上心,18
上思,7
上报,18
上文,202
上方,38
上时,8
上智,20
上朝,6
上来,13
上林,132
上水,10
上流,18
上浮,10
上海,8
上游,9
上火,7
上玄,8
上田,12
上疏,326
上相,11
上看,11
上章,29
上篇,50
上能,9
上至,71
上蔡,41
上虞,17
上行,76
上表,13
上角,12
上说,23
上车,24
上达,15
上过,10
上还,22
上述,36
上部,11
上都,14
上间,6
上面,38
上风,6
上马,18
上高,10
下一,28
下下,20
下世,17
下乡,8
下人,58
下令,65
下传,35
下位,53
下体,15
下作,19
下半,8
下去,23
下口,6
下句,88
下同,125
下周,21
下图,6
下土,60
下地,28
下垂,7
下城,17
下士,306
下完,6
下官,12
下定,24
下宫,13
下属,15
下工,12
下应,13
下廉,16
下得,40
下情,22
下拜,29
下放,6
下文,274
下方,33
下来,30
下气,8
下水,12
下江,38
下法,30
下注,30
下流,66
下游,13
下狱,201
下田,14
下称,24
下笔,15
下策,8
下篇,82
下至,193
下蔡,13
下行,31
下诏,93
下贱,9
下车,97
下达,8
下过,6
下道,11
下邳,113
下部,11
下降,28
下陷,8
下集,6
下面,38
下风,13
下马,19
不一,116
不上,74
不下,284
不与,635
不严,25
不中,201
不为,1044
不久,66
不义,251
不乏,38
不乐,158
不乖,9
不也,33
不乱,105
不予,68
不争,93
不二,36
不亏,25
不交,36
不亦,418
不仁,300
不仅,72
不从,419
不以,1252
不休,130
不会,57
不传,68
不伤,67
不伦,12
不似,20
不但,9
不住,6
不作,172
不佞,43
不使,176
不依,8
不便,139
不俗,6
不保,17
不信,455
不修,208
不借,13
不倦,100
不假,37
不偏,41
不停,7
不偷,25
不允,7
不克,210
不免,200
不入,317
不全,89
不公,18
不关,16
不兴,71
不再,57
不写,7
不决,57
不减,11
不出,490
不分,92
不切,17
不利,462
不到,47
不前,11
